hash,group,family,particion,dificultad,xz_ok,kissat_ref,k_resueltas,k_resultado,k_t_min,k_t_med,k_t_max,n_vars,n_clauses,gbd_family,track_main,original_filename
55199d55fa9c3751a525d6c0a0e649bd,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
5884bd13ef73c1305f7fadd1188d81db,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
5c48ad5bfb25910c611a5cb252ecf581,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
5cb1ca8fe8a9d9125ea9accd498445f1,argumentation,argumentation,dev,media,1,1,3,UNSAT,592.8277596830012,627.5837518710032,756.9853877060013,,,,,
5cba2130f3b9b5aabe6d4bef8438b5a7,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
61070b0ca909f70d104c41ba2e18ebc4,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,4173.000,103882.000,,,
626a63809afddb40150befbfa5111773,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
62b5634297cf5a00efcfe0b2ab33c705,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
62eae28dcf3170b1547fb5db73e6a295,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
64778902de3d1d77ac19ced386b7f54a,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
65993c1d3503a963aa30f8244269cc52,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,800.000,47114.000,,,
674affb219c049cdbff1b65a6b7bedcc,argumentation,argumentation,test,media,1,1,3,SAT,190.87171281300107,394.6652819130031,447.6003618699978,,,,,
6754a2269c4ed4c91b9fe2dabf683ca8,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
67b4844c4bfbaf961cbbd79b953aa5c2,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
69ed23c545d2a48f735f2187d919a5dd,argumentation,argumentation,test,media,1,1,3,SAT,38.31107664300362,261.3921088259958,706.6882094869943,,,,,
6d6b5efe28f4fc13c982cd8404245950,argumentation,argumentation,test,trivial,1,1,3,SAT,0.1004092299990588,0.1172095309884753,0.119015363001381,800.000,47705.000,,,
6dd45cf2d273ca149df4cabd2fea5c70,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
6fab31665147f538da92dc16c3a239ad,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
6fbed10d0ff5bea497d26c08ad2f8009,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
7061040acf111de124b71cff57689845,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
7492f8b6198c2fef61785b031aaf3201,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
76257d780dcaae3c7a28b1fcfb44dad0,argumentation,argumentation,test,inestable,1,1,2,SAT,323.3391858610121,377.1151531819924,800.0,,,,,
77f2ff6b224e8f65ada066a8a11f82ea,argumentation,argumentation,test,trivial,1,1,3,SAT,0.1008168599946657,0.1084946740011219,0.1352337319985963,1000.000,74222.000,,,
7abad21697e0a9769ad51e58d2bc9792,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
7b40e39148de4d5f8d9384d6937c287e,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
7b4622a3ab523264378a560199de47ed,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
7b9d8b9b31b530effd634f5a8f1f4411,argumentation,argumentation,test,media,1,1,3,UNSAT,521.0542220310017,616.0133496939961,648.0934406550077,,,,,
7bcc0ddc684ca044973e912681786440,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
7faa62e8464b2ca45d9ca4bfd3ef95a4,argumentation,argumentation,test,trivial,1,1,3,SAT,0.065153076997376,0.067334117993596,0.0688242519972845,,,,,
81d2158d506ea1049708837460b9387e,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,800.000,15201.000,,,
8270ae50e6f2881136868db6d3a88eee,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
84a0931700324abf2ffb39ad6469f76a,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
84bdf44171ffa3ffbc187c7244c83bf5,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,836.000,17335.000,,,
89b778a6b654bd3107b4fc10b3a0fdee,argumentation,argumentation,dev,inestable,1,1,2,SAT,187.97809167001105,193.4428139899973,800.0,,,,,
8b267f95678c90b2179944de7233b090,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
8b31606e10656ff7eb2936262b647443,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
8b363b12850e5d205a4565a352006e77,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
8db36208fc6ce43b4002cf048c549b3f,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
8e028e63015dc3e6c1f91b4dfc8d7bfa,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
9164165d7f1960b7d6317ff09cd9e2a2,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
92a730305d3ebc88e06cdf74deb5e484,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,1002.000,113965.000,,,
92ce18c41203c97938c9566b6920d9f2,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
945d67baeb7860df648ab6ef4782d5ed,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
953e9ff735bdf5ada27b0ab2b908b6af,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
96a472b1fd7bf855fbe44fc2d5e745ce,argumentation,argumentation,excluida,sin-ref,0,0,,,,,,,,,,
96a6796405061571e12d383efe27b703,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
97233f12f268ea7dc29f8fc280278c2b,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
9749dfccb16cf9c3978e508e58b7e793,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
9754fc1acf450ee2ed2083a211cfa487,argumentation,argumentation,dev,inestable,1,1,1,SAT,191.49296460500045,800.0,800.0,,,,,
9811b95bfd5888014d27e6dd384ff502,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
9c7043290cee8127c3626d8067759267,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
9c8e0ab5c6c0614c6e6984e1aabfa6d1,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
9da5ac8c85d8a5ff3d81cd40004cf4b7,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
9e5f847d97c4aa584e9c89d342ff886b,argumentation,argumentation,dev,media,1,1,3,UNSAT,165.7291790140007,166.36252758099,197.9785032200016,,,,,
9e749596a8de36d8ab706c96cf128455,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
a10ac377ffa3193589df4d06f6506f3b,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,800.000,20401.000,,,
a12bb1cc7368a41319792a395275eee1,argumentation,argumentation,test,inestable,1,1,2,SAT,12.946790333007812,99.21775571000762,800.0,,,,,
a1617458de611b0dca934ea3a60a0749,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
a2b8ca54a01de6473900476c87f30146,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
a343d3e91beb4d857f802ec1896359d6,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
a4d0045e0c0ae0bae72dccc0bdc30627,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,800.000,20401.000,,,
a58b8a5eb61d3110d9fa36a03de588d2,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
a73a34088fda4ebcf173015b036b5e92,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,800.000,20401.000,,,
a9f4302b847b9408077d3f7aa4aa85af,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
aa4a861240c0c39b5aa44602133ae5e1,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,836.000,17335.000,,,
aa5585572cc045a3c2209b083635d598,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
aa7346b1ad1e46590bcf4cb65ac91fd5,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
abf7c338e1183f74f3e8a6619bb19348,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
ac51df6b340190cd1182c06ff2955afa,argumentation,argumentation,test,media,1,1,3,SAT,40.580872703008936,289.9717364840035,341.4020683540002,,,,,
ad65eff6de4d7da5c4197919936819d5,argumentation,argumentation,dev,trivial,1,1,3,SAT,0.0598128819983685,0.0645455060002859,0.066689261002466,,,,,
ae7e391be73431e5dddf2bbafe95758a,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
b11374f7fe60b9a63fbfde24b1a0a439,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
b15976296ff876956f98444866a50bb6,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
b1de5ff3eb1bfd64a2111f29061f06a6,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
b46f01eda843af257a0620285ad6dce8,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
b86f2425cafeb1239d65bd529e372e02,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
b9ed6fd14f4fc969ec966a4b54c36872,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
bacdba12584c2ac2ef65e0ff3540f565,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
bbf800109d039e117ed60593c185692c,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
bd19da88800086971e554e9d66bc641d,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
bdfee78154d94ce8f7225950e9d30ae9,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
bee9b6cc37c70a5fb70d0e73b4cc8163,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
bf701b504bdefc046b637fdaf8ea065c,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
c0074020a48535e6062421cea2850dd0,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
c26ca353bf47730b0e5c545a6c927a85,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,1002.000,76525.000,,,
c3d8096db125f4bade48cfd0dcf441f3,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
c41c74f316a2067cc19708ce982d960a,argumentation,argumentation,test,media,1,1,3,UNSAT,217.00168860299163,217.7749393849953,220.01121497699933,,,,,
c78802dadb6d6f5c543a5923799ecd64,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
c892ecdacc0cd27450d201bf1fae433c,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,1328.000,22623.000,,,
c8f1448967383f3fa8281c00123cbcc8,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
ca8f36f9c54cb7f5d070abeaeec489fe,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
caf26e6aaa0adebbc670ae3d082c8e33,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
cfc5b08fa24149afb9a67426dbe871e9,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
d3daba681653ea969bedf0c4a2fdb947,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
d41878466122ace3061c2bc62309ca69,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
d4b34487d867f3c56146c58cef8f7066,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
d4faf72067242c3c52f8a5596a2389c7,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
d5828176cbe49f8fe8f65d51744c8af4,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
d5f6b2092795aad67d1df1fd3a329552,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
d7f2e4ec8e631387c928c79e1054c663,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
db099269d468029b70419bf4a49e99a1,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,400.000,30926.000,,,
db1905e1d74befc396c4ced0a26a4742,argumentation,argumentation,dev,media,1,1,3,SAT,26.65296929799661,49.890121933000046,431.4488086920028,,,,,
db4a0d4ba26c46d66ad6cdcb0645a4d9,argumentation,argumentation,dev,media,1,1,3,UNSAT,687.1433745129907,762.5430626029993,793.352042864004,,,,,
dbaec2770ce9d23324d530a1c53f8412,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
dcdc3d1d35c7ecee04826b8361f0d08b,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
dd2a651971987244956321d7a4b1efaa,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,1198.000,21549.000,,,
ddb3decfe4a53709806d60535bbb3de8,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
df5854c32714147e085ec209b8c0f5ac,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
e27e439d19bd1d246b7a669feb2d5e7e,argumentation,argumentation,dev,media,1,1,3,SAT,104.93695547699464,518.9927543950034,520.7922451280028,,,,,
e3920fc15989f1d914b4210a7864eecf,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
e3bd4a397f34a99c47d1b2e0e9abcd43,argumentation,argumentation,excluida,danada,0,0,,,,,,,,,,
e4695710aef0fb01226d484be4055dfc,argumentation,argumentation,test,media,1,1,3,UNSAT,203.2007851590024,207.9656436590012,225.36444383100024,,,,,
e67d733d9938c565d6359002333611ff,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
e7736f693835ebec4ced74ad3c146e81,argumentation,argumentation,dev,media,1,1,3,UNSAT,99.17728404000808,101.2888805859984,114.93323406600392,,,,,
e84b00b1f134e0e071a2baf54cfc90e8,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
e90c47854301126a15d599fb323b21bc,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
e95e284c3a0e7ba69f480af696b2d174,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
ea827f81bd0e9735739adc0d9da1b446,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,1002.000,113464.000,,,
eae448bcbe947fb35084a8ac8e82e068,argumentation,argumentation,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
ef0712f558986be079b9bab249af88ba,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,800.000,20001.000,,,
f08395cb2a776af1a659f4ad1c4863ca,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
f15ad4206d95a3f8f1358b33301539be,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,802.000,48038.000,,,
f35c75373ea4331d8bbb668dc6819eb1,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
f371fb73e6bd6d05b306519818bd5c89,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,1000.000,13501.000,,,
f569dc48ad062a3110ff08a8d59e59ab,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
f788ba6dd26cdc70f890422d54c875f3,argumentation,argumentation,excluida,danada,0,0,,,,,,,,,,
f828cf8d7e59a8f1f16375f58e33a9b0,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
fc8c01b4e729cad266d31fe3fec9caac,argumentation,argumentation,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
fda6ca467c5e2d2cd3f02fbcde359961,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
fdfd5975c57d7cd2264ef6aff6cb4815,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
ff8727f8f3e2d408412320923a4bf977,argumentation,argumentation,reserva,sin-ref,1,0,,,,,,,,,,
00ae4072f9b57d5d3cfe8919aff1b776,bitvector,bitvector,excluida,sin-ref,0,0,,,,,,,,,,
0294158664d9ada36bd23fbb652cb823,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
03b0e7b608a5f1052c1cdb58ffc69262,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
0504d4dc55e80f42ffa698a4ece021c0,bitvector,bitvector,test,inestable,1,1,1,UNSAT,799.4498549329874,800.0,800.0,,,,,
07b48aebb6cc968704afb001b7a50d8d,bitvector,bitvector,excluida,danada,0,0,,,,,,,,,,
096e485489025895cdc59887baafa08b,bitvector,bitvector,excluida,sin-ref,0,0,,,,,,,,,,
09afcece2714c5f1a477c6166933cab5,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
09dcc6149a23787a3aa96af8825bda60,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
09ea7a837fa92ee285890f2187fcff0a,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
0aeec01727d2c23cd3f075494541a7b4,bitvector,bitvector,dev,inestable,1,1,1,SAT,781.938447847002,800.0,800.0,,,,,
0cf4d222987cb88e010b4059c4454dcb,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
0ddf53c673ce101b55cc995a357c21f4,bitvector,bitvector,dev,facil,1,1,3,UNSAT,17.30959275200439,18.098752129008066,18.241903939997428,,,,,
0e1a40f65b2fa25ee94a687fa76d5443,bitvector,bitvector,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
0eb24d15f5f858aae0ab4cca22d44a22,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
1080c841e6f6a8756f3c3633da98c91d,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
11eb35e15cc12c52b20174da5b71f039,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
124b725bc84e58ee0a8b72a028a75173,bitvector,bitvector,test,media,1,1,3,UNSAT,249.54074841400143,315.0057467730076,340.6301855400088,,,,,
12fc09b9f66357cf31bb1e4584e28c1a,bitvector,bitvector,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
135ee583d7609243c526c206cf2ffe1d,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
151e3f6c15130b20ab695722318e64b3,bitvector,bitvector,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
16473d2acfc310d6ed6fc67656c35ade,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
1698bc45adbd800076d24e622a227436,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,164758.000,456350.000,,,
1756f9aaead72843a446521cf005550b,bitvector,bitvector,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
1933096e8f9cd581bd376d252fd2ac7c,bitvector,bitvector,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
1a314a2c6095985bdb6f7a2d987d31fc,bitvector,bitvector,test,dura,1,1,0,,800.0,800.0,800.0,,,,,
1a62267c798f13033f7fdb438a3accc9,bitvector,bitvector,dev,dura,1,1,0,,800.0,800.0,800.0,,,,,
1b8e995452d94c2db70cedf14a3f26da,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
1f1ab8bc58bb4bc09d309418bbf474da,bitvector,bitvector,test,media,1,1,3,UNSAT,539.027343113994,643.2999583320052,738.4461728499882,,,,,
1faa2c4c17f5f9f13aa48dd8220bbbca,bitvector,bitvector,test,dura,1,1,0,,800.0,800.0,800.0,7877.000,23594.000,,,
20132fb2ea02d8606840eb1d63f9f5c5,bitvector,bitvector,reserva,sin-ref,1,0,,,,,,,,,,
