banco,instancia,resultado
dev,2563ea83d8508d635cc034d80014cd72.cnf.xz,vars=9612 clauses=210064 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,5f729f069a233fa88dfb470bbee7c924.cnf.xz,vars=11020 clauses=241880 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,aa0eadb6c4935468fd6954e23a550504.cnf.xz,vars=9612 clauses=210064 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,3367ba4c01fe07b385980a14211f250e.cnf.xz,vars=36809 clauses=142491 xors=12266 k3=6141 k4=6125 k5=0 k6=0 covered=30670 maxcomp=6138
dev,a45aefde8bb26edb9634004146d0de89.cnf.xz,vars=1186 clauses=22688 xors=211 k3=107 k4=104 k5=0 k6=0 covered=560 maxcomp=40
dev,5d06225b27017e9a703f10cb577cf3bf.cnf.xz,vars=625 clauses=17432 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,vars=450 clauses=20035 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,83ced7d9ee8058c52c9a68ded7fad0a5.cnf.xz,vars=160 clauses=21744 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,a957fdb07df865bb4fd24a00ceb49fdb.cnf.xz,vars=3148025 clauses=10859973 xors=877402 k3=877402 k4=0 k5=0 k6=0 covered=1316280 maxcomp=34028
dev,9541d12f3e3d9201085c13f25145d2f7.cnf.xz,vars=1529550 clauses=8599702 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,af9c2fb7046eb845f185c64cd9dd1006.cnf.xz,vars=1176896 clauses=9196920 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,b697738cefe9cb2dd62f24653a13b341.cnf.xz,vars=597850 clauses=4571725 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,117b99ffa16d21cb4ccb1c66829b0c7e.cnf.xz,vars=1350 clauses=15166 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,8aa9ffb211d1cba850be2ee9d173b7e1.cnf.xz,vars=6900 clauses=64260 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,9fbe200523c648000d71b2c739093aa2.cnf.xz,vars=2500 clauses=25193 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,f497bda3018958d7ba2d1cd99da3982e.cnf.xz,vars=2300 clauses=21816 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,fbbfbee9e6cba8bca18fbcfc23dcfcb6.cnf.xz,vars=2100 clauses=17509 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,40ae60a61929b6bfa2ac99ab4b9a0f7e.cnf.xz,vars=688704 clauses=1988478 xors=272349 k3=272349 k4=0 k5=0 k6=0 covered=431098 maxcomp=154655
dev,042cdc726a92bf0a2195b3b426f35bce.cnf.xz,vars=139160 clauses=548063 xors=117600 k3=117600 k4=0 k5=0 k6=0 covered=122500 maxcomp=1176
dev,01d6fa8efd18ebfecd06af408958477b.cnf.xz,vars=625 clauses=9216 xors=625 k3=4 k4=92 k5=529 k6=0 covered=625 maxcomp=625
dev,4d84e818a5ab324dde37429dd2455551.cnf.xz,vars=1200 clauses=21040 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,aca9f4faabeb57a57c678d55f5bbd2f4.cnf.xz,vars=1200 clauses=21040 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,ebc40cf47836100655aea44ef1ed46da.cnf.xz,vars=26541 clauses=117207 xors=8019 k3=729 k4=7290 k5=0 k6=0 covered=24057 maxcomp=11
dev,e55a49d8065d65650f24c0f3ecef30b6.cnf.xz,vars=23931 clauses=298759 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,a789d0722f1aa0d44c5a38b374719c69.cnf.xz,vars=10531100 clauses=28326357 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,e85fb114c33f450dc2622c78bc6fa019.cnf.xz,vars=32170813 clauses=82175657 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,7ac164a9d153f0a2d9bf54a98d429636.cnf.xz,vars=2948 clauses=9574 xors=826 k3=826 k4=0 k5=0 k6=0 covered=1559 maxcomp=510
dev,6d815089fb4095208754622b4c44a8f7.cnf.xz,vars=5892 clauses=23367 xors=2879 k3=2879 k4=0 k5=0 k6=0 covered=5824 maxcomp=67
dev,de8c42d50f1dbf43a731f1916dc6bf01.cnf.xz,vars=2948 clauses=9573 xors=817 k3=817 k4=0 k5=0 k6=0 covered=1567 maxcomp=348
dev,09e0775d2b51c49ec1ec4d214ee7c8c8.cnf.xz,vars=342 clauses=339679 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,2c458ef30d7b670f143d6c6e175e3ee9.cnf.xz,vars=88944 clauses=35644937 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,22c8d6aa86d51e15ef5ab37479eda22b.cnf.xz,vars=3120 clauses=477680 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,011984fd82d62d609e776fbf5de75440.cnf.xz,vars=2320 clauses=8620 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,90937ed75ba0560158d8fe45f303868a.cnf.xz,vars=8497 clauses=35672 xors=3822 k3=3822 k4=0 k5=0 k6=0 covered=8281 maxcomp=6
dev,e4d1892db27b721b88e5ee7e5987649f.cnf.xz,vars=7582 clauses=39537 xors=3050 k3=1050 k4=2000 k5=0 k6=0 covered=7486 maxcomp=1194
dev,0359596347daa117da50950748bc06d1.cnf.xz,vars=18420 clauses=83276 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,37c88155822f1934a190dd6f4614f0ce.cnf.xz,vars=171148 clauses=6595658 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,48432767076e402d2accbf2da7260885.cnf.xz,vars=15470 clauses=206002 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,5faba478cb08194407b5ec957ab08599.cnf.xz,vars=70581 clauses=1424854 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,9aa85c5c114245c182ed6afbe3d8daed.cnf.xz,vars=12452 clauses=158113 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,53d23b2b464a5c041114eb1f00cc4b81.cnf.xz,vars=24552 clauses=92000 xors=16320 k3=16320 k4=0 k5=0 k6=0 covered=20610 maxcomp=3072
dev,878bcc11e1e243680f7946bcf428f465.cnf.xz,vars=1509852 clauses=15518860 xors=283582 k3=283582 k4=0 k5=0 k6=0 covered=592218 maxcomp=11644
dev,c15b09b9a7ceff4d4c8fe705958f92ba.cnf.xz,vars=72868 clauses=2934162 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,2ca47af4ab7a817725138b8b66e9af7f.cnf.xz,vars=540 clauses=7044 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,5de866bc7ff4dfde3cd682b5aca75894.cnf.xz,vars=320 clauses=30726 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,b6de3c794e223fe515682f52e5d81272.cnf.xz,vars=501 clauses=63088 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,ee44c3f464238366729bf2cb16eb412a.cnf.xz,vars=384 clauses=44173 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,7fe153ced2c966dcdeb42b6714b4d6b7.cnf.xz,vars=842026 clauses=2262695 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,1c0fe2ac410f3942e374ea72ec005d76.cnf.xz,vars=74466 clauses=111149 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,5fb5e437292532efe687ac6f74a9cb76.cnf.xz,vars=84270 clauses=125877 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,7fa502dfce37c37c1cafd50b3fba263f.cnf.xz,vars=53487 clauses=79819 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,b9a626da76f235aab854c6ef516b9240.cnf.xz,vars=21734 clauses=79766 xors=7362 k3=7362 k4=0 k5=0 k6=0 covered=13014 maxcomp=1754
dev,bd0b055b890a9ace598a0c4aba40de30.cnf.xz,vars=618715 clauses=2626081 xors=68101 k3=68101 k4=0 k5=0 k6=0 covered=156143 maxcomp=204
dev,7e21850936d6127540157afaaf912c02.cnf.xz,vars=18601 clauses=37462 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,0757e47d262b75171c0040987e6d20ce.cnf.xz,vars=400 clauses=31600 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,3a8409393cc1ebae1444a079d216f221.cnf.xz,vars=23815 clauses=47691 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
dev,a60a138325ac9c88ab293ec0c801a95c.cnf.xz,vars=2651 clauses=9500 xors=1611 k3=1611 k4=0 k5=0 k6=0 covered=1891 maxcomp=1611
symm2026,043c91001968a1fbd1ef419540fcb396.cnf.xz,vars=9216 clauses=748640 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,0d082b8fa36f662217bee5524cd24d3a.cnf.xz,vars=920 clauses=48323 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,0ec6bf97a96b9840ae84f1d1da4c4dcd.cnf.xz,vars=969 clauses=220951 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,0f1070ba60b55aa62d3a98798a14700e.cnf.xz,vars=5640 clauses=116738 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,12ac1c71ff0405cc150c2a2db6c4a255.cnf.xz,vars=4875 clauses=336450 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,15456f0d13b26f0b4b21525ef7d0d711.cnf.xz,vars=450 clauses=20035 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,1890f49a43a94b97828528b68c32b78e.cnf.xz,vars=220 clauses=1122 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,1a3bef9e03bab1ed4e9e34506d72a451.cnf.xz,vars=10800 clauses=198762 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,1fb646d2657b6dd5f0106dbec9fd6c27.cnf.xz,vars=3280 clauses=65682 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,266e890b706cf336378bf148bbda1aff.cnf.xz,vars=360 clauses=11715 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,28dcc4119e1bbb5fbd3fdd8f4140f28d.cnf.xz,vars=2702 clauses=8933 xors=2077 k3=2077 k4=0 k5=0 k6=0 covered=2702 maxcomp=2077
symm2026,2b7e863462991fd008f9898eca63ebf4.cnf.xz,vars=248213 clauses=803227 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,306a29e966fa6293d407bc7ebbc3ecb1.cnf.xz,vars=15000 clauses=360625 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,35e0b5a19c88961d98dd806e805759f4.cnf.xz,vars=528 clauses=16401 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,3c4ac805726d78a869ff8116ee3533db.cnf.xz,vars=308 clauses=2030 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,43d40ced32b5be08814ef24f97379654.cnf.xz,vars=210 clauses=2850 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,44452f4bac1e77157bbc900c5cc0756d.cnf.xz,vars=9612 clauses=210064 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,58eaf62034046ed4fc52562869569b44.cnf.xz,vars=820 clauses=32021 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,5d02aa18eac7304c705577f1cce07784.cnf.xz,vars=24822 clauses=247840 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,5d06225b27017e9a703f10cb577cf3bf.cnf.xz,vars=625 clauses=17432 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,5d8b47745dba3fe50f9c8712be389cd5.cnf.xz,vars=1000 clauses=55525 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,65bf849f3e86ab275e339934f4d140a0.cnf.xz,vars=3750 clauses=208955 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,6ddda96839bb24cd7389d5556d3ab16d.cnf.xz,vars=25920 clauses=562074 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,71849248b47db583f56e77f55f31e525.cnf.xz,vars=5950 clauses=455260 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,757d64688ac60cba697a980dfbbf5075.cnf.xz,vars=5460 clauses=245882 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,7b9620b5d7da55bda43595fe37867acd.cnf.xz,vars=7200 clauses=604890 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,8117a2ac08e1acf52f660663efe2a5ca.cnf.xz,vars=322 clauses=1127 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,860788f93fb766e83e00a29de84180e7.cnf.xz,vars=510 clauses=19652 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,92b22042a950db2a9841f08d169d1bb5.cnf.xz,vars=6300 clauses=497790 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,9ba8145e0d02318dea5507fc3ba03472.cnf.xz,vars=13500 clauses=4611150 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,a7e5d03892a17e51e22b688f51cf0aab.cnf.xz,vars=720 clauses=33140 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,a95f0373ebf724f474fcc9ccd7197bd9.cnf.xz,vars=3660 clauses=109922 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,aa4e80476e6a6ea1034e303e6b2e46dc.cnf.xz,vars=5250 clauses=375450 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,b0142b06940fb02e2b4ddb7a2101a3d6.cnf.xz,vars=210 clauses=4011 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,b0abaa97c4663edc2048d86de3e2b226.cnf.xz,vars=16520 clauses=219007 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,b1c44904cf06682f973b60c8282f45e8.cnf.xz,vars=647 clauses=3239 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,bcdc894819cf050e57849fe84a1e8cc4.cnf.xz,vars=4040 clauses=202202 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,c44762c4b177ac64fd0919f37de8382e.cnf.xz,vars=336 clauses=10430 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,cb2e8b7fada420c5046f587ea754d052.cnf.xz,vars=180 clauses=3160 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,d27f76623aed2fce608c092b2aafafc5.cnf.xz,vars=6650 clauses=542070 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,e430acf720b63044e5c825a00a76b0eb.cnf.xz,vars=1250 clauses=15375 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,e5787bb4c8c29aa39b14a5e11387999d.cnf.xz,vars=13079 clauses=252490 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,e91253303b915493090c1f4b59d9e969.cnf.xz,vars=7600 clauses=144800 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,f83424f869b61931d720f93e5a12df3c.cnf.xz,vars=380 clauses=7050 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,fbd9968f5067604694f11f14c07c5527.cnf.xz,vars=990 clauses=42615 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
symm2026,011984fd82d62d609e776fbf5de75440.cnf.xz,vars=2320 clauses=8620 xors=0 k3=0 k4=0 k5=0 k6=0 covered=0 maxcomp=0
